Date,SP_Price,Open,High,Low,Vol.,Change %
28-Aug-19,"2,887.94","2,861.28","2,890.03","2,853.05",-,0.65%
27-Aug-19,"2,869.16","2,893.14","2,898.79","2,860.59",-,-0.32%
26-Aug-19,"2,878.38","2,866.70","2,879.27","2,856.00",-,1.10%
23-Aug-19,"2,847.11","2,911.07","2,927.01","2,834.97",-,-2.59%
22-Aug-19,"2,922.95","2,930.94","2,939.08","2,904.51",-,-0.05%
21-Aug-19,"2,924.43","2,922.04","2,928.73","2,917.91",-,0.82%
20-Aug-19,"2,900.51","2,919.01","2,923.63","2,899.60",-,-0.79%
19-Aug-19,"2,923.65","2,913.48","2,931.00","2,913.48",-,1.21%
16-Aug-19,"2,888.68","2,864.74","2,893.63","2,864.74",-,1.44%
15-Aug-19,"2,847.60","2,846.20","2,856.67","2,825.51",-,0.25%
14-Aug-19,"2,840.60","2,894.15","2,894.15","2,839.64",-,-2.93%
13-Aug-19,"2,926.32","2,880.72","2,943.31","2,877.05",-,1.48%
12-Aug-19,"2,883.75","2,907.07","2,907.58","2,873.14",-,-1.20%
9-Aug-19,"2,918.65","2,930.51","2,935.75","2,900.15",-,-0.66%
8-Aug-19,"2,938.09","2,896.21","2,938.72","2,894.47",-,1.88%
7-Aug-19,"2,883.98","2,858.65","2,892.17","2,825.71",-,0.08%
6-Aug-19,"2,881.77","2,861.18","2,884.40","2,847.42",-,1.30%
5-Aug-19,"2,844.74","2,898.07","2,898.07","2,822.12",-,-2.98%
2-Aug-19,"2,932.05","2,943.90","2,945.50","2,914.11",-,-0.73%
1-Aug-19,"2,953.56","2,980.32","3,013.59","2,945.23",-,-0.90%
31-Jul-19,"2,980.38","3,016.22","3,017.40","2,958.08",-,-1.09%
30-Jul-19,"3,013.18","3,007.66","3,017.19","3,000.94",-,-0.26%
29-Jul-19,"3,020.97","3,024.47","3,025.61","3,014.30",-,-0.16%
26-Jul-19,"3,025.86","3,013.25","3,027.98","3,012.59",-,0.74%
25-Jul-19,"3,003.67","3,016.26","3,016.31","2,997.24",-,-0.53%
24-Jul-19,"3,019.56","2,998.77","3,019.59","2,996.82",-,0.47%
23-Jul-19,"3,005.47","2,994.74","3,005.90","2,988.56",-,0.68%
22-Jul-19,"2,985.03","2,981.93","2,990.71","2,976.65",-,0.28%
19-Jul-19,"2,976.61","3,004.26","3,006.02","2,975.86",-,-0.62%
18-Jul-19,"2,995.11","2,978.87","2,998.28","2,973.09",-,0.36%
17-Jul-19,"2,984.42","3,005.10","3,005.26","2,984.25",-,-0.65%
16-Jul-19,"3,004.04","3,012.13","3,015.02","3,001.15",-,-0.34%
15-Jul-19,"3,014.30","3,017.80","3,017.80","3,008.77",-,0.02%
12-Jul-19,"3,013.77","3,003.36","3,013.92","3,001.87",-,0.46%
11-Jul-19,"2,999.91","2,999.62","3,002.33","2,988.80",-,0.23%
10-Jul-19,"2,993.07","2,989.30","3,002.98","2,984.62",-,0.45%
9-Jul-19,"2,979.63","2,965.52","2,981.90","2,963.44",-,0.12%
8-Jul-19,"2,975.95","2,979.77","2,980.76","2,970.09",-,-0.48%
5-Jul-19,"2,990.41","2,984.25","2,994.03","2,967.97",-,-0.18%
3-Jul-19,"2,995.82","2,978.08","2,995.84","2,977.96",-,0.77%
2-Jul-19,"2,973.01","2,964.66","2,973.21","2,955.92",-,0.29%
1-Jul-19,"2,964.33","2,971.41","2,977.93","2,952.22",-,0.77%
28-Jun-19,"2,941.76","2,932.94","2,943.98","2,929.05",-,0.58%
27-Jun-19,"2,924.92","2,919.66","2,929.30","2,918.57",-,0.38%
26-Jun-19,"2,913.78","2,926.07","2,932.59","2,912.99",-,-0.12%
25-Jun-19,"2,917.38","2,945.78","2,946.52","2,916.01",-,-0.95%
24-Jun-19,"2,945.35","2,951.42","2,954.92","2,944.05",-,-0.17%
21-Jun-19,"2,950.46","2,952.71","2,964.15","2,946.87",-,-0.13%
20-Jun-19,"2,954.18","2,949.60","2,958.06","2,931.50",-,0.95%
19-Jun-19,"2,926.46","2,920.55","2,931.74","2,911.43",-,0.30%
18-Jun-19,"2,917.75","2,906.71","2,930.79","2,905.44",-,0.97%
17-Jun-19,"2,889.67","2,889.75","2,897.27","2,887.30",-,0.09%
14-Jun-19,"2,886.98","2,886.82","2,894.45","2,879.62",-,-0.16%
13-Jun-19,"2,891.64","2,886.24","2,895.24","2,881.99",-,0.41%
12-Jun-19,"2,879.84","2,882.73","2,888.57","2,874.68",-,-0.20%
11-Jun-19,"2,885.72","2,903.27","2,910.61","2,878.53",-,-0.03%
10-Jun-19,"2,886.73","2,885.83","2,904.77","2,885.51",-,0.47%
7-Jun-19,"2,873.34","2,852.87","2,884.97","2,852.87",-,1.05%
6-Jun-19,"2,843.49","2,828.51","2,852.10","2,822.45",-,0.61%
5-Jun-19,"2,826.15","2,818.09","2,827.28","2,800.92",-,0.82%
4-Jun-19,"2,803.27","2,762.64","2,804.49","2,762.64",-,2.14%
3-Jun-19,"2,744.45","2,751.53","2,763.07","2,728.81",-,-0.28%
31-May-19,"2,752.06","2,766.15","2,768.98","2,750.52",-,-1.32%
30-May-19,"2,788.86","2,786.94","2,799.00","2,776.74",-,0.21%
29-May-19,"2,783.02","2,790.25","2,792.03","2,766.06",-,-0.69%
28-May-19,"2,802.39","2,830.03","2,840.51","2,801.58",-,-0.84%
24-May-19,"2,826.06","2,832.41","2,841.36","2,820.19",-,0.14%
23-May-19,"2,822.24","2,836.70","2,836.70","2,805.49",-,-1.19%
22-May-19,"2,856.27","2,856.06","2,865.47","2,851.11",-,-0.28%
21-May-19,"2,864.36","2,854.02","2,868.88","2,854.02",-,0.85%
20-May-19,"2,840.23","2,841.94","2,853.86","2,831.29",-,-0.67%
17-May-19,"2,859.53","2,858.60","2,885.48","2,854.23",-,-0.58%
16-May-19,"2,876.32","2,855.80","2,892.15","2,855.80",-,0.89%
15-May-19,"2,850.96","2,820.38","2,858.68","2,815.08",-,0.58%
14-May-19,"2,834.41","2,820.12","2,852.54","2,820.12",-,0.80%
13-May-19,"2,811.87","2,840.19","2,840.19","2,801.43",-,-2.41%
10-May-19,"2,881.40","2,863.10","2,891.31","2,825.39",-,0.37%
9-May-19,"2,870.72","2,859.84","2,875.97","2,836.40",-,-0.30%
8-May-19,"2,879.42","2,879.61","2,897.96","2,873.28",-,-0.16%
7-May-19,"2,884.05","2,913.03","2,913.03","2,862.60",-,-1.65%
6-May-19,"2,932.47","2,908.89","2,937.32","2,898.21",-,-0.45%
3-May-19,"2,945.64","2,929.21","2,947.85","2,929.21",-,0.96%
2-May-19,"2,917.52","2,922.16","2,931.68","2,900.50",-,-0.21%
1-May-19,"2,923.73","2,952.33","2,954.13","2,923.36",-,-0.75%
30-Apr-19,"2,945.83","2,937.14","2,948.22","2,924.11",-,0.10%
29-Apr-19,"2,943.03","2,940.58","2,949.52","2,939.35",-,0.11%
26-Apr-19,"2,939.88","2,925.81","2,939.88","2,917.56",-,0.47%
25-Apr-19,"2,926.17","2,928.99","2,933.10","2,912.84",-,-0.04%
24-Apr-19,"2,927.25","2,934.00","2,936.83","2,926.05",-,-0.22%
